Program Co-chairs	Rebecca Isaacs, Amazon
Ding Yuan, University of Toronto
General Co-chairs	Youjip Won, Korea Advanced Institute of Science and Technology
Youngjin Kwon, Korea Advanced Institute of Science and Technology
Local Co-chairs	Euiseong Seo, Sungkyunkwan University
Jinkyu Jeong, Yonsei University
Sponsorship Co-chairs	Youyou Lu, Tsinghua University
Jason Xue, Mohamed bin Zayed University of Artificial Intelligence
Alexey Tumarnov, Georgia Institute of Technology
Finance Chair	Jaehyun Hwang, Sungkyunkwan University
DEI Co-chairs	Young-ri Choi, Ulsan National Institute of Science and Technology
Xiaosong Ma, Mohamed bin Zayed University of Artificial Intelligence
Publicity Chair	Thaleia Dimitra Doudali, IMDEA Software Institute
Workshop Chair	Byung-Gon Chun, Seoul National University and FriendliAI
Publication Chair	Dan Williams, Virginia Tech
Registration Chair	Ryan Huang, University of Michigan
Web Chair	Wook-Hee Kim, Konkuk University
Poster Co-chairs	Jiwon Seo, Seoul National University
Jisung Park, POSTECH
Student Mentorship Chair	Natasha Crooks, University of California, Berkeley
Student Scholarship & Travel Grant Chair	Ming Liu, University of Wisconsin—Madison
Student Research Competition Chair	Jinyu Gu, Shanghai Jiao Tong University
Artifact Evaluation Co-chairs	Baptiste Lepers, Inria
Sanidhya Kashyap, EPFL
Sudarsun Kannan, Rutgers University
Program Committee
Aishwarya Ganesan, University of Illinois Urbana-Champaign
Ana Klimovic, ETH Zurich
Anand Iyer, Georgia Institute of Technology
Andreas Haeberlen, University of Pennsylvania and Roblox
Andrew Baumann, Google
Andrew Quinn, UC Santa Cruz
Ashvin Goel, University of Toronto
Atul Adya, Databricks
Aurojit Panda, NYU
Baris Kasikci, University of Washington
Burcu Canakci, Microsoft Research
Chang Lou, University of Virginia
Christopher J. Rossbach, The University of Texas at Austin and Microsoft
Deepak Narayanan, NVIDIA
Deniz Altınbüken, Google DeepMind
Doug Terry, LinkedIn
Eddie Kohler, Harvard University
Emmett Witchel, The University of Texas at Austin
Gala Yadgar, Technion – Israel Institute of Technology
Gennady Pekhimenko, CentML/University of Toronto
Geoffrey M. Voelker, UC San Diego
George Amvrosiadis, Carnegie Mellon University
George Candea, EPFL
Haibo Chen, Shanghai Jiao Tong University
Ionel Gog, Google DeepMind
Irina Calciu, Graft
James Bornholt, Amazon
Jason Flinn, Meta
Jason Nieh, Columbia University
Jay Lorch, Microsoft Research
Jialin Li, National University of Singapore
Jing Liu, Microsoft Research
Jinyang Li, NYU
Jonathan Mace, Microsoft Research
Junfeng Yang, Columbia University
Kang Chen, Tsinghua University
KyoungSoo Park, Seoul National University
Malte Schwarzkopf, Brown University
Marius Eriksen, Meta
Mahesh Balakrishnan, Meta
Michael Stumm, University of Toronto
Michael Swift, University of Wisconsin—Madison
Ming-Chang Yang, The Chinese University of Hong Kong
Murat Demirbas, MongoDB Research
Natacha Crooks, UC Berkeley
Noa Zilberman, University of Oxford
Oana Balmau, McGill University
Pedro Fonseca, Purdue University
Petros Maniatis, Google DeepMind
Ramnatthan Alagappan, University of Illinois Urbana-Champaign
Robbert van Renesse, Cornell University
Robert Morris, MIT
Rodrigo Fonseca, Azure Research, Microsoft
Ronghui Gu, Columbia University and CertiK
Ryan Huang, University of Michigan
Sam H. Noh, Virginia Tech
Sameh Elnikety, Microsoft Research
Sanidhya Kashyap, EPFL
Sebastian Angel, University of Pennsylvania
Shan Lu, Microsoft Research / University of Chicago
Steven Hand, Google DeepMind
Tianyin Xu, University of Illinois Urbana-Champaign
Tim Harris, OpenAI
Wyatt Lloyd, Princeton University
Wenting Zheng, CMU
Xin Jin, Peking University
Xu Zhao, Meta
Yanyan Jiang, Nanjing University
Yongle Zhang, Purdue University
Youngjin Kwon, KAIST
Yubin Xia, Shanghai Jiao Tong University
Yufei Ding, UCSD
Zeyu Mi, Shanghai Jiao Tong University
Zhihao Jia, Carnegie Mellon University
Ziqiao Zhou, Microsoft Research
