run,metric,sample,latency_ns
1,sched,0,1444225
1,sched,1,1128029
1,sched,2,1089717
1,sched,3,1099202
1,sched,4,1089076
1,sched,5,1162457
1,sched,6,1181435
1,sched,7,1112458
1,notify,0,1018569
1,notify,1,1011287
1,notify,2,1300923
1,notify,3,1599727
1,notify,4,1553206
1,notify,5,1378930
1,notify,6,1420802
1,notify,7,994890
2,sched,0,1049170
2,sched,1,826152
2,sched,2,833183
2,sched,3,798877
2,sched,4,802600
2,sched,5,816321
2,sched,6,805446
2,sched,7,804802
2,notify,0,724688
2,notify,1,731127
2,notify,2,731457
2,notify,3,738905
2,notify,4,727119
2,notify,5,724481
2,notify,6,736214
2,notify,7,740081
3,sched,0,1000331
3,sched,1,802922
3,sched,2,800914
3,sched,3,793020
3,sched,4,794409
3,sched,5,794122
3,sched,6,797607
3,sched,7,793706
3,notify,0,718002
3,notify,1,730088
3,notify,2,720027
3,notify,3,719122
3,notify,4,728622
3,notify,5,730127
3,notify,6,719467
3,notify,7,715458
