config,memory,test,parallel,run,ops_per_sec
LLFree+CR,DRAM,kmalloc,1,1,810206
LLFree+CR,CXL,kmalloc,1,1,247768
LLFree+CR,DRAM,get_pages(4KB)-alloc,1,1,153065
LLFree+CR,DRAM,get_pages(4KB)-free,1,1,6263353
LLFree+CR,DRAM,get_pages(2MB)-alloc,1,1,16353
LLFree+CR,DRAM,get_pages(2MB)-free,1,1,113405
LLFree+CR,CXL,get_pages(4KB)-alloc,1,1,130274
LLFree+CR,CXL,get_pages(4KB)-free,1,1,1374730
LLFree+CR,CXL,get_pages(2MB)-alloc,1,1,11805
LLFree+CR,CXL,get_pages(2MB)-free,1,1,76221
LLFree+CR,DRAM,random_get_free_4K2M,1,1,747031
LLFree+CR,CXL,random_get_free_4K2M,1,1,419600
LLFree+CR,DRAM,kmalloc,4,1,1335547
LLFree+CR,CXL,kmalloc,4,1,98805
LLFree+CR,DRAM,get_pages(4KB)-alloc,4,1,3585501
LLFree+CR,DRAM,get_pages(4KB)-free,4,1,6388089
LLFree+CR,DRAM,get_pages(2MB)-alloc,4,1,108240
LLFree+CR,DRAM,get_pages(2MB)-free,4,1,113382
LLFree+CR,CXL,get_pages(4KB)-alloc,4,1,759821
LLFree+CR,CXL,get_pages(4KB)-free,4,1,1365865
LLFree+CR,CXL,get_pages(2MB)-alloc,4,1,71843
LLFree+CR,CXL,get_pages(2MB)-free,4,1,76255
LLFree+CR,DRAM,random_get_free_4K2M,4,1,793644
LLFree+CR,CXL,random_get_free_4K2M,4,1,412075
LLFree+CR,DRAM,kmalloc,8,1,1173683
LLFree+CR,CXL,kmalloc,8,1,74771
LLFree+CR,DRAM,get_pages(4KB)-alloc,8,1,3782417
LLFree+CR,DRAM,get_pages(4KB)-free,8,1,6364174
LLFree+CR,DRAM,get_pages(2MB)-alloc,8,1,97882
LLFree+CR,DRAM,get_pages(2MB)-free,8,1,113246
LLFree+CR,CXL,get_pages(4KB)-alloc,8,1,1394615
LLFree+CR,CXL,get_pages(4KB)-free,8,1,1360115
LLFree+CR,CXL,get_pages(2MB)-alloc,8,1,71045
LLFree+CR,CXL,get_pages(2MB)-free,8,1,76501
LLFree+CR,DRAM,random_get_free_4K2M,8,1,793240
LLFree+CR,CXL,random_get_free_4K2M,8,1,413826
LLFree+CR,DRAM,kmalloc,16,1,775202
LLFree+CR,CXL,kmalloc,16,1,65383
LLFree+CR,DRAM,get_pages(4KB)-alloc,16,1,3804817
LLFree+CR,DRAM,get_pages(4KB)-free,16,1,6493882
LLFree+CR,DRAM,get_pages(2MB)-alloc,16,1,97717
LLFree+CR,DRAM,get_pages(2MB)-free,16,1,113743
LLFree+CR,CXL,get_pages(4KB)-alloc,16,1,1396461
LLFree+CR,CXL,get_pages(4KB)-free,16,1,1362625
LLFree+CR,CXL,get_pages(2MB)-alloc,16,1,71678
LLFree+CR,CXL,get_pages(2MB)-free,16,1,76158
LLFree+CR,DRAM,random_get_free_4K2M,16,1,792362
LLFree+CR,CXL,random_get_free_4K2M,16,1,411310
LLFree+CR,DRAM,kmalloc,32,1,290256
LLFree+CR,CXL,kmalloc,32,1,57570
LLFree+CR,DRAM,get_pages(4KB)-alloc,32,1,3752258
LLFree+CR,DRAM,get_pages(4KB)-free,32,1,6464394
LLFree+CR,user,user_malloc(even[16-256]),1,1,22598247
LLFree+CR,user,user_malloc(even[16-256]),2,1,43110736
LLFree+CR,user,user_malloc(even[16-256]),4,1,81149016
LLFree+CR,user,user_malloc(even[16-256]),8,1,170619200
LLFree+CR,user,user_malloc(even[16-256]),16,1,260899264
LLFree+CR,user,user_malloc(even[16-256]),32,1,264222016
LLFree+CR,user,user_malloc(even[16-256]),64,1,189360832
LLFree+CR,user,user_malloc(even[16-256]),96,1,75193920
LLFree+CR,DRAM,kmalloc,1,2,681552
LLFree+CR,CXL,kmalloc,1,2,45256
LLFree+CR,DRAM,get_pages(4KB)-alloc,1,2,73052
LLFree+CR,DRAM,get_pages(4KB)-free,1,2,1113272
LLFree+CR,DRAM,get_pages(2MB)-alloc,1,2,9746
LLFree+CR,DRAM,get_pages(2MB)-free,1,2,74506
LLFree+CR,CXL,get_pages(4KB)-alloc,1,2,117147
LLFree+CR,CXL,get_pages(4KB)-free,1,2,1036532
LLFree+CR,CXL,get_pages(2MB)-alloc,1,2,8699
LLFree+CR,CXL,get_pages(2MB)-free,1,2,37120
