percentile,empty_t1,empty_t4,empty_t8,read_t1,read_t4,read_t8
0.0,3840,4708,5316,6840,8274,14444
0.0,3843,4922,5503,6873,8383,18744
0.0,3845,5019,5901,6892,8409,19586
0.0,3847,5056,6020,6898,8534,19894
0.1,3847,5085,6120,6904,9148,20289
0.1,3865,5087,6182,6915,12561,22586
0.1,3869,5101,6280,6919,13070,23413
0.1,3878,5102,6291,6952,13940,28384
0.1,3884,5148,6391,6968,16697,35073
0.1,3889,5185,6401,6971,16787,39520
0.1,3891,5201,6414,6983,17361,40063
0.1,3894,5206,6420,6983,17670,41805
0.1,3895,5210,6439,6985,17711,42872
0.2,3906,5238,6441,7001,17716,43748
0.2,3910,5242,6444,7008,17772,43761
0.2,3912,5260,6481,7014,18042,45488
0.2,3923,5287,6483,7019,18346,45845
0.2,3928,5295,6488,7038,18407,46365
0.2,3929,5309,6520,7042,18508,46486
0.2,3931,5311,6541,7042,18598,46974
0.2,3936,5313,6582,7043,18791,47681
0.3,3940,5320,6592,7045,18836,47843
0.3,3944,5333,6606,7049,18911,48129
0.3,3948,5381,6643,7049,19178,48295
0.3,3957,5411,6671,7053,19717,48690
0.3,3970,5425,6677,7053,20139,48972
0.3,4001,5447,6689,7053,20248,48996
0.3,4006,5457,6692,7056,20323,49409
0.3,4006,5460,6700,7058,20488,49520
0.4,4011,5542,6772,7058,20560,49929
0.4,4013,5554,6772,7059,20612,50046
0.4,4016,5557,6777,7059,20812,50121
0.4,4018,5588,6792,7061,20966,50238
0.4,4019,5590,6795,7062,21146,50349
0.4,4019,5608,6797,7064,21397,50395
0.4,4021,5630,6825,7066,21408,50417
0.5,4023,5642,6841,7066,21416,50565
0.5,4023,5666,6961,7068,21570,50568
0.5,4024,5681,7301,7069,21849,50626
0.5,4024,5713,7398,7069,21980,50798
0.5,4025,5749,7425,7069,22056,50809
0.5,4026,5775,7440,7072,22071,50863
0.5,4027,5792,7460,7073,22095,50957
0.5,4028,5827,7478,7074,22104,50973
0.6,4028,5847,7479,7074,22160,50984
0.6,4028,5860,7591,7074,22199,51023
0.6,4030,5864,7611,7075,22207,51097
0.6,4031,5873,7619,7076,22235,51098
0.6,4033,5876,7647,7077,22268,51130
0.6,4034,5884,7654,7078,22424,51140
0.6,4035,5886,7659,7078,22448,51177
0.6,4038,5887,7836,7078,22534,51197
